da26;cmp esp,ebx;True
da27;cmp esp,ecx;True
da28;cmp esp,edx;True
da29;cmp esp,ebp;True
da30;cmp esp,esi;True
da31;cmp esp,edi;True
da32;cmp esi,eax;True
da33;cmp esi,ebx;True
da34;cmp esi,ecx;True
da35;cmp esi,edx;True
da36;cmp esi,ebp;True
da37;cmp esi,esp;True
da38;cmp esi,edi;True
da39;cmp edi,eax;True
da40;cmp edi,ebx;True
da41;cmp edi,ecx;True
da42;cmp edi,edx;True
da43;cmp edi,ebp;True
da44;cmp edi,esp;True
da45;cmp edi,esi;True
db;ja rel8;False
e0;dec ebx;False
e5;mov eax,imm32;False
eb;jnz rel8;False
f0;dec esp;False
f5;mov ecx,imm32;False
f8;pop esi;False
fb;jz rel8;False
